zipcode,population
17555,22575
17752,13905
18036,38466
18041,16272
18049,52023
18051,9981
18054,12834
18056,2829
18070,2217
18073,28050
18074,17325
18076,7986
18092,9669
18101,11691
18104,129708
18914,63189
18915,3189
18932,1164
18936,12
18940,86475
18951,103953
18960,37419
18964,41436
18966,113997
18969,45819
18974,122859
18976,59385
19001,51060
19002,97236
19003,37557
19004,28248
19006,64269
19009,2592
19010,63309
19012,20010
19018,70080
19020,166479
19025,16185
19026,92214
19027,57201
19030,36366
19031,14100
19034,17997
19035,11340
19038,94785
19040,61608
19041,18744
19044,47559
19046,53427
19047,105168
19053,77898
19057,51573
19063,107112
19064,73377
19066,17592
19072,28617
19073,54996
19075,22062
19082,122991
19083,107634
19085,26796
19087,96675
19090,56496
19095,21189
19096,40716
19104,155424
19107,44625
19111,189270
19115,99621
19116,99336
19118,29424
19119,81105
19120,204312
19121,109716
19126,47274
19127,17739
19128,105717
19129,32925
19131,129516
19138,96819
19139,123813
19144,129987
19150,70134
19151,89649
19333,20685
19348,66696
19355,74280
19380,148602
19382,157164
19401,125259
19403,132780
19405,15381
19406,70323
19422,55518
19426,116493
19428,49740
19435,300
19438,71295
19440,54114
19444,31557
19446,165414
19453,4449
19454,83610
19457,375
19460,120462
19462,43974
19464,137364
19465,51114
19468,76608
19472,222
19473,47178
19474,2199
19475,33849
19477,438
19492,2151
19503,3426
19504,14994
19505,9678
19512,50862
19518,44202
19520,16395
19525,42321
19602,53700
19607,67632
36107,28767
77316,48108
